"","ST_CASE","OBJECT_ID","FID","LATITUDE","LONGITUD","PERMVIT","PERSONS","MONTH","DAY_WEEK","HOUR","ROUTE","SP_JUR","HARM_EV","RELJCT1","RELJCT2","TYP_INT","WRK_ZONE","REL_ROAD","LGT_COND","WEATHER","FATALS","STATE","A_RU","A_INTER","A_TOD","A_DOW","A_CT","A_MC","A_SPCRA","A_PED","A_ROLL","A_POLPUR","A_POSBAC","A_D15_20","A_D65PLS","A_D21_24","A_HR","A_DIST","A_DROWSY","STATE_NAME","drunkDr"
"107",10108,1,22324,33.76190556,-86.04343056,3,3,3,6,19,3,0,12,0,1,1,0,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,"Alabama",0
"108",10109,1,24240,32.93260278,-85.39525833,3,3,3,7,10,3,0,12,0,1,1,0,1,1,5,1,1,1,2,1,2,3,2,2,2,2,2,3,2,2,1,2,2,2,"Alabama",0
"109",10110,1,23971,33.09906389,-86.01120278,1,1,3,7,16,3,0,42,0,1,1,0,4,1,10,1,1,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,"Alabama",0
"110",10111,1,23725,33.25796389,-87.8056,2,2,3,2,22,4,0,35,0,1,1,0,4,2,1,1,1,1,2,2,1,1,2,1,2,1,2,1,2,2,1,2,2,2,"Alabama",1
"111",10112,1,21514,33.98633611,-87.85301389,1,1,3,7,1,3,0,42,0,1,1,0,4,2,1,1,1,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,"Alabama",0
"112",10113,1,22580,33.687975,-86.83011389,2,2,4,7,20,1,0,8,0,1,1,0,1,2,1,1,1,2,1,2,2,1,2,2,1,2,2,3,2,2,2,2,2,2,"Alabama",0
"113",10114,1,27216,30.66108056,-87.87046944,2,2,4,4,22,1,0,12,0,1,1,0,1,2,1,1,1,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,"Alabama",1
"114",10115,1,21859,33.900625,-87.46942778,1,1,3,6,23,1,0,1,0,1,1,0,1,2,10,1,1,1,1,2,2,1,2,2,2,1,2,3,2,2,2,2,2,1,"Alabama",0
"115",10116,1,26704,31.26938889,-87.21400556,3,3,3,7,21,1,0,12,0,1,1,0,1,2,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,"Alabama",0
"116",10117,1,26909,31.00395,-87.67861667,5,5,3,4,19,1,0,12,0,1,1,0,1,2,10,1,1,1,1,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,"Alabama",0
"117",10118,1,20045,34.56162222,-86.97040556,2,2,3,1,4,3,0,30,0,1,1,0,4,3,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,"Alabama",1
"118",10119,1,23719,33.26156389,-87.70531111,2,2,3,1,20,2,0,12,0,1,1,0,1,2,10,1,1,1,2,2,2,2,2,2,2,2,2,3,2,1,1,2,2,2,"Alabama",0
"119",10120,1,22042,33.84600556,-86.27015,2,2,3,3,13,2,0,12,0,1,1,0,1,1,10,1,1,1,2,1,1,2,2,1,2,2,2,3,2,2,2,2,2,2,"Alabama",0
"120",10121,1,25197,32.54603889,-86.18844444,3,3,3,1,14,3,0,12,0,1,1,0,1,1,1,1,1,2,2,1,2,2,1,1,2,2,1,3,2,2,1,2,2,2,"Alabama",0
"121",10122,1,25257,32.50412778,-86.57332778,1,1,3,3,11,4,0,34,0,1,1,0,4,1,10,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,"Alabama",0
